"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "YAML", "Ini", "MS SQL", "XML", "PostCSS", "Java", "Java Properties", "Docker", "comment", "blank", "total"
"c:\BachKhoa\Kbase\BE\project-service\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\ProjectServiceApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\common\ResponseTemplate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\controller\ProjectController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 15, 100
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\AddMemberRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\CreateProjectRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\InviteMemberRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectInvitationResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectMemberResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectPermissionResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
